Ano-calendário;Competência;Orçamento;Descrição;Valor da Receita Tributária;Percentual do PIB;Classificação Receita
2002;Total dos Tributos União;União;TOTAL DA RECEITA TRIBUTÁRIA;477725.6437;0.320882411;Alta
2002;Tributos do Governo Federal;Orçamento Fiscal;TRIBUTOS DO GOVERNO FEDERAL;330496.8209;0.22199063;Baixa
2002;Tributos do Governo Federal;Orçamento Fiscal;ORÇAMENTO FISCAL;117337.9936;0.07881448;Baixa
2002;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - TOTAL;83528.69112;0.05610519;Baixa
2002;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - PESSOAS FÍSICAS;4078.31919;0.002739357;Baixa
2002;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - PESSOAS JURÍDICAS;31536.71663;0.021182823;Baixa
2002;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO DE RENDA - RETIDO NA FONTE;47913.6553;0.03218301;Baixa
2002;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS;18486.11903;0.012416898;Baixa
2002;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO SOBRE OPERAÇÕES FINANCEIRAS;3993.526875;0.002682403;Baixa
2002;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTOS SOBRE O COMÉRCIO EXTERIOR;7956.652394;0.005344385;Baixa
2002;Tributos do Governo Federal;Orçamento Fiscal;TAXAS FEDERAIS;1532.540862;0.001029389;Baixa
2002;Tributos do Governo Federal;Orçamento Fiscal;COTA-PARTE AD FR. REN. MAR. MERCANTE;654.6948626;0.00043975;Baixa
2002;Tributos do Governo Federal;Orçamento Fiscal;CONTRIB. CUSTEIO PENSÕES MILITARES;995.1779242;0.000668449;Baixa
2002;Tributos do Governo Federal;Orçamento Fiscal;IMPOSTO TERRITORIAL RURAL;190.5905133;0.000128017;Baixa
2002;Tributos do Governo Federal;Orçamento Seguridade Social;ORÇAMENTO SEGURIDADE SOCIAL;152100.1903;0.102163818;Baixa
2002;Tributos do Governo Federal;Orçamento Seguridade Social;CONTRIBUIÇÃO PARA A PREVIDÊNCIA SOCIAL;69965.05835;0.046994665;Baixa
2002;Tributos do Governo Federal;Orçamento Seguridade Social;COFINS;50997.4717;0.034254371;Baixa
