Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas;Classificação;Sigla_UF;Data
AMÉRICA DO SUL;4;Peru;34;Acre;1;Aéreo;1;2023;Novembro;11;0;Baixa;AC;2023-11-01
AMÉRICA DO SUL;4;Peru;34;Acre;1;Aéreo;1;2023;Novembro;11;0;Baixa;AC;2023-11-01
ÁSIA;5;Outros Países;56;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;0;Baixa;Outros;2023-06-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;12;Média;Outros;2023-01-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;10;Média;Outros;2023-02-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;3;Média;Outros;2023-03-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;7;Média;Outros;2023-04-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;3;Média;Outros;2023-05-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;3;Média;Outros;2023-06-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;1;Média;Outros;2023-07-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;5;Média;Outros;2023-08-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;12;Média;Outros;2023-09-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;12;Média;Outros;2023-10-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;71;Média;Outros;2023-11-01
EUROPA;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;11;Média;Outros;2023-12-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;564;Alta;Outros;2023-01-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;474;Alta;Outros;2023-02-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;520;Alta;Outros;2023-03-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;536;Alta;Outros;2023-04-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Maio;5;387;Alta;Outros;2023-05-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Junho;6;255;Alta;Outros;2023-06-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Julho;7;478;Alta;Outros;2023-07-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;377;Alta;Outros;2023-08-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Setembro;9;481;Alta;Outros;2023-09-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;659;Alta;Outros;2023-10-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;0;Baixa;Outros;2023-10-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;513;Alta;Outros;2023-11-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;0;Baixa;Outros;2023-11-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;529;Alta;Outros;2023-12-01
AMÉRICA DO SUL;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;0;Baixa;Outros;2023-12-01
OCEANIA;7;Austrália;90;Outras Unidades da Federação;99;Aéreo;1;2023;Abril;4;2;Média;Outros;2023-04-01
OCEANIA;7;Austrália;90;Outras Unidades da Federação;99;Aéreo;1;2023;Novembro;11;3;Média;Outros;2023-11-01
EUROPA;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;1;Média;Outros;2023-01-01
EUROPA;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023;Marco;3;4;Média;Outros;2023-03-01
EUROPA;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023;Agosto;8;3;Média;Outros;2023-08-01
EUROPA;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023;Outubro;10;1;Média;Outros;2023-10-01
EUROPA;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023;Dezembro;12;0;Baixa;Outros;2023-12-01
EUROPA;6;Bélgica;59;Outras Unidades da Federação;99;Aéreo;1;2023;Janeiro;1;3;Média;Outros;2023-01-01
EUROPA;6;Bélgica;59;Outras Unidades da Federação;99;Aéreo;1;2023;Fevereiro;2;3;Média;Outros;2023-02-01
